id,restaurant_id,customer_id,order_value,delivery_time_minutes,rating,nps_score,created_at,Data,Hora,dia_da_semana,hora_minutos,dia_da_semana_text
fad161ca-be94-4240-ab02-80a4adc6cdbb,f39c8476-57b9-4d64-a029-41f314768ca1,6c405ee8-0e56-4275-b6c0-2c282d26b6c3,62.74,32.44,4,70.91,2025-04-18 14:55:47,2025-04-18,14:55:47,5,895.78,Sexta-feira
0f65a0c7-13a8-4aa3-9afc-a958259dca84,1a1879cf-3034-4022-8b74-7db1833e3ce1,dd48f4fa-c351-48e5-bbcf-0da511016176,191.28,29.44,3,52.02,2025-02-07 17:44:04,2025-02-07,17:44:04,5,1064.07,Sexta-feira
a5352972-4582-4782-a543-6e4ac2874d34,e44b5824-a8cc-421a-879e-dbc4f8a216bd,5b91dcad-00bf-4966-9e11-f30c4ddd29fe,42.35,10.97,5,100.0,2024-05-15 19:25:17,2024-05-15,19:25:17,3,1165.28,Quarta-feira
a1f972c3-d6e3-4274-8460-4245d64c791a,cb6b0111-2151-4f71-b874-42aaf07f9352,faa015a2-465b-42a4-913c-37ed889104fe,138.8,48.92,2,26.42,2024-07-26 17:31:23,2024-07-26,17:31:23,5,1051.38,Sexta-feira
97572463-d4a8-4105-b6cf-9659576a5718,85467164-ea14-461a-ba43-ebf2d55dd845,36ea02dd-aaec-46a6-bc8a-8487a12c6710,96.47,4.0,4,79.53,2024-04-01 20:21:34,2024-04-01,20:21:34,1,1221.57,Segunda-feira
7bebfb3c-9084-495b-9d39-41217865df81,854d1d3a-6e9f-47c8-a142-78ad437832fe,5ec0358e-5a91-47a5-ba5f-6e2af7cecf5b,106.84,27.29,5,90.94,2024-12-08 05:39:42,2024-12-08,05:39:42,0,339.7,Domingo
65d73ac4-f27e-4fb6-b197-190675fae313,658f0286-9e14-4c23-86eb-c251ecc33815,9c060c69-55e5-41f7-bda2-892eac4a6b64,32.88,4.0,5,98.81,2025-06-08 20:21:26,2025-06-08,20:21:26,0,1221.43,Domingo
d9848894-858f-41e4-a7b3-696dc7886dff,e23fbade-f251-4f47-ab00-57f8b048e785,88838338-0ce6-471d-bb5e-a0469c78cb5f,40.82,6.43,3,60.62,2025-01-01 18:06:10,2025-01-01,18:06:10,3,1086.17,Quarta-feira
37ed46bd-fb87-4220-8357-753e242d5937,3026032c-54f2-4524-afa3-169f023e9cb3,15f57b58-e2f2-4a16-b383-5b21fc492a7b,57.05,38.01,2,46.14,2025-07-09 05:13:54,2025-07-09,05:13:54,3,313.9,Quarta-feira
3ea379ae-a6f6-403f-bded-4a3002c7c793,3e64b313-1978-43b5-9cc7-bcc1f5e55844,59ed9a65-a7bf-4eae-abb4-16c05bfc6115,67.13,22.95,4,73.33,2024-02-28 18:08:56,2024-02-28,18:08:56,3,1088.93,Quarta-feira
73db6851-73ed-475e-85d3-f59ef113fe17,13a25d4d-ce8d-4632-a300-c85c76fd7012,5825ee09-f145-432e-b4d7-aea902b5d429,54.56,14.14,3,66.99,2025-07-14 22:29:33,2025-07-14,22:29:33,1,1349.55,Segunda-feira
6f959ec0-1a15-4e46-87e6-0089e166bbe8,8bb08431-0bd5-4b96-9755-f04f6bd8c4e3,3c2f1c1c-cd53-4f2d-b6b7-7b70586b23ff,95.28,30.65,1,18.43,2024-07-27 15:24:30,2024-07-27,15:24:30,6,924.5,Sábado
f7a28c66-7bb9-4407-8498-85fde8f6baf2,77dd7621-413d-4252-88b6-ed1f0e356c7f,84bfe4ce-5be3-4f10-b208-00679f9b4736,187.37,33.82,5,95.48,2024-02-07 16:39:08,2024-02-07,16:39:08,3,999.13,Quarta-feira
cfe8767f-20f0-4252-89e5-38174c1a8c74,2e3f730f-cbbe-4966-93b2-c71aa4b84d26,80e62baa-1251-4419-a303-07d2b8e68cdb,171.5,30.24,4,87.4,2024-01-21 01:32:55,2024-01-21,01:32:55,0,92.92,Domingo
5c1f8695-b13a-4402-89bc-53d7ad5c13eb,4e06810a-b613-4358-a0d6-c987f9f6dd9a,3f425195-6aa3-40ae-9efb-1b4fd651b24e,69.84,41.04,3,64.75,2024-11-19 02:40:59,2024-11-19,02:40:59,2,160.98,Terça-feira
4a96cc4d-b81d-4e20-bd9a-644f38e64990,06b52e73-d182-4361-8fc3-bb21774e8ad2,144e7db0-0679-4b32-90dd-0ff21a4ca8ee,42.3,30.59,4,77.67,2025-10-30 02:02:19,2025-10-30,02:02:19,4,122.32,Quinta-feira
f6e0b6f9-16f0-4fb2-ae85-ea34655d4fbf,7f413bda-39a1-4d68-8d2e-1afdd7f4f220,d0d6cf8c-f6b5-416a-b381-878545d7f25e,116.34,47.06,1,13.29,2025-03-12 16:22:28,2025-03-12,16:22:28,3,982.47,Quarta-feira
2ffbe9f6-13e2-40b5-a574-7e73b9c273c0,e08989e7-f7fb-40e6-8ce3-778bee378a89,fccacf1b-7a5f-4db6-8745-31c9e724c368,82.63,56.9,2,41.75,2025-08-29 08:14:35,2025-08-29,08:14:35,5,494.58,Sexta-feira
3a0dacc3-aba9-4bc8-8801-b8551cd0059a,2a4200a7-747a-4197-bdea-b07adae57021,f7bbcd09-05c0-4bc8-b6d8-d2545881801b,62.64,6.62,3,62.6,2024-04-01 00:36:01,2024-04-01,00:36:01,1,36.02,Segunda-feira
afbd4355-d1eb-48ee-bcb6-9ae4feb4dd48,6f5578d8-9e60-4f0e-b539-1bc1a40a2f5b,632c3b0a-8c2e-4c23-999c-1dd259f74b7e,28.09,15.91,1,23.68,2024-05-27 23:48:46,2024-05-27,23:48:46,1,1428.77,Segunda-feira
a8a6eced-f8c7-435a-9ea7-468908e4eb2a,038fbc55-abed-49a8-a097-5fbb75c9e408,2aa1fa01-0b39-492b-ae4f-941d65b10c22,63.54,59.01,2,43.11,2025-10-18 12:31:17,2025-10-18,12:31:17,6,751.28,Sábado
3a4ba044-f3e1-437f-9884-35ff49797fe4,4ae1e65b-d377-485d-b551-6781194fa629,39af29d7-85dc-42fb-9295-1b61b223234f,96.88,7.37,4,89.13,2025-06-25 00:18:45,2025-06-25,00:18:45,3,18.75,Quarta-feira
ba1227cb-c962-4ff8-a3a9-9c107ef6fa2c,5fac2fbf-5955-403f-bd82-a6273e995849,b59b21a5-a09a-4583-a8c4-cb72e177ebd7,35.18,37.58,2,45.69,2024-01-17 09:47:45,2024-01-17,09:47:45,3,587.75,Quarta-feira
b8997dea-d083-4b1a-8816-3ed5edfc060e,44c5f088-9560-47e4-af11-071d042a2af5,8c9e166f-849a-4a5a-a6f7-0869ae094fb2,102.14,4.0,4,69.67,2024-02-19 21:37:19,2024-02-19,21:37:19,1,1297.32,Segunda-feira
9d51f1be-1cb7-417a-823e-cbef590162ff,a30b0545-f65e-40e0-9e60-364925a44661,dfd2a5d3-7f63-4656-b32e-a12c9ae51652,261.31,61.55,3,67.29,2024-05-10 04:09:46,2024-05-10,04:09:46,5,249.77,Sexta-feira
a0f8a677-3579-4088-a4de-4f6712477d34,a6fc6ada-86a0-4985-8206-fdddc06e2e19,fdc24786-5256-4acb-9a3e-2a2a06cd231b,546.56,41.72,2,29.63,2025-11-01 21:16:24,2025-11-01,21:16:24,6,1276.4,Sábado
34162d75-78aa-43a3-9426-83db30d2fb85,cd32060c-8515-4782-aef9-5700fa373150,34f5f97d-e87b-42bb-8417-9763ee33c8c6,47.17,10.29,5,100.0,2024-12-12 16:04:54,2024-12-12,16:04:54,4,964.9,Quinta-feira
cb4f2846-ac81-4aeb-b0e0-3e4b74f2d534,9f53b881-30e3-464e-a98b-44e50ddb23a6,2dacccf7-87ea-4fc7-be5d-aa5a47fdcf16,26.71,53.37,2,36.42,2024-02-10 02:22:20,2024-02-10,02:22:20,6,142.33,Sábado
2edb9ca7-1404-4480-bf78-04f5242d1a9b,b2bdf545-0f54-49d1-a514-dc67952ebe7b,faeb5d07-0352-4839-8e8b-ded9fb69cf9d,60.35,13.85,1,-25.55,2025-01-29 15:56:16,2025-01-29,15:56:16,3,956.27,Quarta-feira
67faf9d9-5f4a-492f-95f2-4dc4e6a23d6a,7c55259a-b599-49ab-b1df-0bb04fca0cc0,e292f6ad-2513-41b0-9098-4d9bd0620707,133.23,24.76,5,100.0,2025-12-20 19:25:05,2025-12-20,19:25:05,6,1165.08,Sábado
d72c9927-4170-483b-ad89-ae8242e6948e,5f4b3f77-110a-457d-a55e-3c0c6a8c3f06,831b0fef-5d74-40ad-a847-1149de7a466a,41.34,14.74,5,100.0,2024-12-25 10:40:55,2024-12-25,10:40:55,3,640.92,Quarta-feira
20666968-c20e-43aa-832a-4b57d2f90422,a28a253c-152e-43c6-9e3c-1db1216def61,939bf200-0498-467f-9705-28309df4c993,37.17,14.28,4,82.22,2025-01-19 06:56:41,2025-01-19,06:56:41,0,416.68,Domingo
3ebfc00d-3349-47ec-b455-b608335dc3e2,1d67f341-89ac-4f45-8372-59717199daba,4f012bc0-8a81-4c37-b8ad-be48d6a66438,55.59,26.22,3,49.08,2025-04-28 00:38:49,2025-04-28,00:38:49,1,38.82,Segunda-feira
5faec35e-ef32-46b8-997d-88c9c50ec0c3,8bf2b5d6-3dc0-4e27-bce8-fb628aecfebf,2a09d7c6-8e93-4afb-9dee-629057b1ec89,85.34,26.61,4,69.64,2025-03-10 23:52:01,2025-03-10,23:52:01,1,1432.02,Segunda-feira
c2ec8cbf-68b7-41ac-98c4-28bce126bf95,e6a83a1f-ca62-4fbf-a816-93313a187b1f,fe082313-9b3f-4b2c-9730-5a92c30bb090,147.8,24.67,2,41.18,2025-11-18 11:03:01,2025-11-18,11:03:01,2,663.02,Terça-feira
70d85b03-2c45-473f-b2ce-bfc34addbff8,b6762e5d-0345-4afd-94b3-3d7f2b70e073,b2b72738-c13d-4337-8d14-48d14b5d1bf8,286.04,40.37,5,100.0,2024-08-25 14:23:30,2024-08-25,14:23:30,0,863.5,Domingo
52420182-0bc7-45b5-bb37-95eee5b2d9d0,dc164bcc-865f-44dc-9901-e2b7dc3c8ec0,a6d0862f-ef17-4451-983e-58f40df9cb0d,32.14,4.36,5,100.0,2024-07-23 19:08:39,2024-07-23,19:08:39,2,1148.65,Terça-feira
69e7bfd2-b5e6-49ef-89dd-0985386972a9,60a77c09-1f61-411f-a1a5-e073a4b9489f,fe610e96-ba95-4628-90b7-5cc6335fabf0,91.51,43.83,3,53.18,2024-12-29 12:11:47,2024-12-29,12:11:47,0,731.78,Domingo
d0c011c6-b9ad-4108-b775-7208fb2667aa,f84324ef-84eb-4e9e-a010-90a3b911e1b6,3fb4674c-3c4c-47c8-898b-0ff05a9fb8f1,54.6,39.01,3,59.67,2025-03-20 16:11:14,2025-03-20,16:11:14,4,971.23,Quinta-feira
4b749cce-1e67-4c88-854a-2fc0b7f9bc89,a7637b40-d34c-413f-9d0c-812d2aca74a5,9b75e692-2894-4c8b-825e-6f56594482ad,61.95,4.0,5,98.31,2025-02-16 11:54:23,2025-02-16,11:54:23,0,714.38,Domingo
2bbffbf5-7dd4-4815-a511-be2ce85b862a,d8282263-829e-403e-a6f6-027f2b8dc1b3,f2e2f7b1-9330-42c0-86af-55276ec09f33,34.04,37.08,4,70.4,2025-08-11 10:39:57,2025-08-11,10:39:57,1,639.95,Segunda-feira
e42748af-034e-4c73-8b06-b48cad7b3fb9,d50768a8-4960-4b76-b91d-cbb8ef02d733,67e2d760-2674-46dc-ad5e-60570d3d65bc,85.23,61.8,1,10.82,2024-01-06 15:26:51,2024-01-06,15:26:51,6,926.85,Sábado
a145b640-a55b-4815-9a35-2baa056f44b5,05b587d4-b706-4905-8673-3f00f240d4b0,f7b443a6-45ee-4e01-8cc8-e8d29485b70f,36.49,27.38,2,30.49,2024-11-25 01:55:44,2024-11-25,01:55:44,1,115.73,Segunda-feira
ff2a1ca7-5a03-49d5-9a60-82a5b5c4a546,ca72460d-65b9-4eee-adb3-c4c3df54fb91,3baa1352-905c-4c11-946c-f4df32a043ca,160.28,10.33,4,85.26,2025-11-03 19:36:39,2025-11-03,19:36:39,1,1176.65,Segunda-feira
abc70857-b002-4767-a67e-ab857b5edbf9,f62a64f0-9841-488f-9be8-a23e513a0fd0,d0a8fbcc-9e62-4843-937e-c91fae34ee4a,359.86,16.88,4,83.06,2024-04-24 13:06:45,2024-04-24,13:06:45,3,786.75,Quarta-feira
d7af6179-b33f-43a4-9026-65a36dd8c3c3,1defc758-7b39-433f-b8bc-42637a576a13,7322a310-064e-4403-8346-c20f622c4827,84.95,63.78,2,32.14,2024-09-20 14:45:25,2024-09-20,14:45:25,5,885.42,Sexta-feira
0ae7d687-1f3d-4a7c-a579-7d3271e082b4,1ca3ac0e-180f-4d10-8f45-7d8dc43a280c,98ae37ba-eb02-4718-88a9-4a3f685deb86,62.24,50.62,3,55.76,2025-03-28 01:35:06,2025-03-28,01:35:06,5,95.1,Sexta-feira
db6a2fc2-325f-492c-bbe0-e9dfd8b1f2ba,829fddc7-b5c0-4b8f-a880-688a8cc34ff2,e52b9f25-8819-41e3-afc4-6e97489dd41b,86.62,28.12,2,38.32,2025-05-20 04:39:49,2025-05-20,04:39:49,2,279.82,Terça-feira
28c3ce3d-1ea7-411a-94bd-df74447e6b11,1531c76b-ab52-40c7-af88-b66ca47ac962,7dda973a-c921-4dd9-882b-60da2590b187,136.89,36.38,3,63.78,2024-12-20 16:32:47,2024-12-20,16:32:47,5,992.78,Sexta-feira
1ccd31e7-491c-4f85-997f-b302c8307d90,630ee616-e39c-404f-9085-b2e132e6480a,cd88fc07-9da6-486d-8a34-81a6bd14211d,95.63,41.44,2,25.4,2025-12-08 07:23:46,2025-12-08,07:23:46,1,443.77,Segunda-feira
010aa582-f166-46d5-acf7-320ab1dc945f,9a478b86-2b4b-483f-a390-c6fc18c6b42c,46108de3-332f-4b75-a853-0b1ea863f422,57.99,4.0,5,100.0,2024-05-22 19:19:10,2024-05-22,19:19:10,3,1159.17,Quarta-feira
68368cad-9912-4aad-9561-9bb35f446167,1b1df374-e1cd-46a6-87bb-b1ca286b0270,abb527ef-98d2-42e2-92a0-e50763b854db,100.34,4.0,4,74.19,2025-02-03 12:05:26,2025-02-03,12:05:26,1,725.43,Segunda-feira
